id,label
0,neg
1,neg
2,neg
3,neg
4,neg
5,neg
6,neg
7,neg
8,neg
9,neg
10,neg
11,neg
12,neg
13,neg
14,neg
15,neg
16,neg
17,neg
18,neg
19,neg
20,neg
21,neg
22,neg
23,neg
24,neg
25,neg
26,neg
27,neg
28,neg
29,neg
30,neg
31,neg
32,neg
33,neg
34,neg
35,neg
36,neg
37,neg
38,neg
39,neg
40,neg
41,neg
42,neg
43,neg
44,neg
45,neg
46,neg
47,neg
48,neg
49,neg
50,neg
51,neg
52,neg
53,neg
54,neg
55,neg
56,neg
57,neg
58,neg
59,neg
60,neg
61,neg
62,neg
63,neg
64,neg
65,neg
66,neg
67,neg
68,neg
69,neg
70,neg
71,neg
72,neg
73,neg
74,neg
75,neg
76,neg
77,neg
78,neg
79,neg
80,neg
81,neg
82,neg
83,neg
84,neg
85,neg
86,neg
87,neg
88,pos
89,neg
90,neg
91,neg
92,neg
93,neg
94,neg
95,neg
96,neg
97,neg
98,neg
99,neg
100,pos
101,neg
102,neg
103,neg
104,neg
105,neg
106,neg
107,neg
108,neg
109,neg
110,neg
111,neg
112,neg
113,neg
114,neg
115,neg
116,neg
117,neg
118,neg
119,neg
120,neg
121,neg
122,neg
123,neg
124,neg
125,neg
126,neg
127,neg
128,neg
129,neg
130,neg
131,neg
132,neg
133,pos
134,neg
135,neg
136,neg
137,neg
138,neg
139,neg
140,neg
141,neg
142,pos
143,neg
144,neg
145,neg
146,neg
147,neg
148,neg
149,neg
150,neg
151,neg
152,neg
153,neg
154,neg
155,neg
156,neg
157,neg
158,neg
159,neg
160,neg
161,neg
162,neg
163,neg
164,neg
165,neg
166,neg
167,neg
168,neg
169,neg
170,neg
171,neg
172,neg
173,neg
174,neg
175,neg
176,neg
177,neg
178,neg
179,neg
180,neg
181,neg
182,neg
183,neg
184,neg
185,neg
186,neg
187,neg
188,neg
189,neg
190,neg
191,neg
192,neg
193,neg
194,neg
195,neg
196,neg
197,neg
198,neg
199,neg
200,neg
201,neg
202,neg
203,neg
204,neg
205,neg
206,neg
207,neg
208,neg
209,neg
210,neg
211,neg
212,neg
213,neg
214,neg
215,neg
216,neg
217,neg
218,neg
219,neg
220,neg
221,neg
222,neg
223,neg
224,neg
225,pos
226,neg
227,neg
228,neg
229,neg
230,neg
231,neg
232,neg
233,neg
234,neg
235,neg
236,neg
237,neg
238,neg
239,neg
240,neg
241,neg
242,neg
243,pos
244,neg
245,neg
246,neg
247,neg
248,neg
249,neg
250,neg
251,neg
252,neg
253,neg
254,pos
255,neg
256,neg
257,neg
258,neg
259,neg
260,neg
261,neg
262,neg
263,neg
264,neg
265,neg
266,neg
267,neg
268,neg
269,neg
270,neg
271,neg
272,neg
273,neg
274,neg
275,neg
276,neg
277,neg
278,neg
279,neg
280,neg
281,neg
282,neg
283,neg
284,neg
285,neg
286,neg
287,neg
288,neg
289,neg
290,neg
291,neg
292,neg
293,neg
294,neg
295,neg
296,neg
297,neg
298,neg
299,neg
300,neg
301,neg
302,neg
303,neg
304,neg
305,neg
306,neg
307,neg
308,neg
309,neg
310,neg
311,neg
312,neg
313,neg
314,neg
315,neg
316,neg
317,neg
318,neg
319,neg
320,neg
321,neg
322,neg
323,neg
324,neg
325,neg
326,neg
327,neg
328,neg
329,neg
330,neg
331,neg
332,neg
333,neg
334,neg
335,neg
336,neg
337,neg
338,neg
339,neg
340,neg
341,neg
342,neg
343,neg
344,neg
345,neg
346,neg
347,neg
348,neg
349,neg
350,neg
351,neg
352,neg
353,neg
354,neg
355,neg
356,neg
357,neg
358,neg
359,neg
360,neg
361,neg
